,power
0,0.42747253267835894
1,0.36667449715580475
2,0.3791274828711534
3,0.38959637311807016
4,0.41720428129903636
5,0.3131395886401618
6,0.3381481088254072
7,0.4007608114393136
8,0.3247588083946188
9,0.32232439013447545
10,0.24747048727656984
11,0.24705583361687508
12,0.2728156348952233
13,0.26715316018756396
14,0.230690389983439
15,0.19585502392757836
16,0.1528737198473919
17,0.15417118452450124
18,0.18142686002680206
19,0.27526788772137506
20,0.26666270962233357
21,0.22391548422100707
22,0.16793055219996342
23,0.14067487669766263
24,0.10429236204057535
25,0.09844485371057904
26,0.11475233500448793
27,0.12296961129284724
28,0.1738337935487359
29,0.2503752922151841
30,0.23251843299929753
31,0.19648146305862252
32,0.19898053162054624
33,0.17690133890217663
34,0.16335821533956602
35,0.15777599617894425
36,0.1671859590691137
37,0.1896909520509333
38,0.1902594288424503
39,0.1632445199812626
40,0.12982477260231678
41,0.13250664546582636
42,0.14651792638615685
43,0.16417414673444922
44,0.21370296586046073
45,0.24509626067670476
46,0.1975091799248552
47,0.19585056528607622
48,0.23526049752308534
49,0.20559269696815166
50,0.24084271668370708
51,0.23715096151997322
52,0.29341901727639985
53,0.24956827810330506
54,0.20956311722576643
55,0.20582231700550954
56,0.2632763714014932
57,0.24836444489773973
58,0.229125406816204
59,0.2332808606961556
60,0.2008799129004383
61,0.12610403626881933
62,0.1700818467247238
63,0.1987843513944541
64,0.13279199852196039
65,0.18044595889634135
66,0.1873100374888151
67,0.2784201472633555
68,0.24021181891116078
69,0.15635591886052733
70,0.12803462803922605
71,0.1480093419686073
72,0.18304980553356429
73,0.1870804174514573
74,0.17012866246049577
75,0.15823523625365996
76,0.11378258047778249
77,0.1165759193788444
78,0.12914482977324745
79,0.1670990155598229
80,0.16338942583008068
81,0.14879852151447795
82,0.1375248464764332
83,0.09979805140646457
84,0.12422471887568672
85,0.2135134735966217
86,0.23559266631499137
87,0.17957652380343303
88,0.20570416300570404
89,0.2444185471683865
90,0.25488966673605434
91,0.26010850661425533
92,0.208403870435222
93,0.17474335641516311
94,0.3090354091374842
95,0.2168552254024412
96,0.16427892480974843
97,0.16594645673153158
98,0.17205702491015146
99,0.1816185816113921
100,0.27140224553905956
101,0.42175209563117233
102,0.4158778354521634
103,0.4377630772651919
104,0.44963866890601945
105,0.4200555825396255
106,0.37758033426992677
107,0.4814377000989541
108,0.44375772076475734
109,0.33128180091218234
110,0.29755217794884103
111,0.25500782073585976
112,0.2913635835439345
113,0.39906652766851786
114,0.3355464915089353
115,0.19784357803751226
116,0.21507845676385676
117,0.18881482899577184
118,0.1839905788905061
119,0.1612292140223161
120,0.17225989309849674
121,0.25696962299678117
122,0.3329002877774425
123,0.40027481951558536
124,0.363080832105117
125,0.3246896994513363
126,0.26209260208268725
127,0.18533262998263642
128,0.18055296629239162
129,0.1973620447552861
130,0.2448755579223511
131,0.22269381644943334
132,0.23311812028132917
133,0.21621318102613968
134,0.24687971727754238
135,0.23867804623444044
136,0.21392812725631646
137,0.20606977160887574
138,0.1890957234104038
139,0.17991538055759215
140,0.20650225983457887
141,0.18751736431866248
142,0.14975712943742814
143,0.13971181013321032
144,0.13918346111521218
145,0.13987232122728568
146,0.1389805929268669
147,0.1529405994699233
148,0.14454497752148024
149,0.13845224390886876
150,0.1420258450727971
151,0.14870043140143188
152,0.1319582325610688
153,0.12140908676711433
154,0.11477462821199841
155,0.10667773524419566
156,0.11059911044528736
157,0.11097809497296535
158,0.10514396256747532
159,0.11952754005323064
160,0.11832816548916734
161,0.13289008863500645
162,0.15886613402620628
163,0.1604132826274329
164,0.14761252287492094
165,0.17084650374233293
166,0.17353060592659353
167,0.27101880236987946
168,0.3556616526456325
169,0.3213925340605378
170,0.3708477856017648
171,0.34243732195042165
172,0.35686994449269993
173,0.4441790623867053
174,0.3822240093943577
175,0.3208931662123033
176,0.33441622588815445
177,0.36790508221038276
178,0.39183238183137026
179,0.40284745566229363
180,0.37484718702914316
181,0.4605378180578883
182,0.4994082546731441
183,0.4480313286445145
184,0.3941486460917082
185,0.4170972739029861
186,0.4543469943322307
187,0.37770071759048335
188,0.4039175296227962
189,0.42945216950528864
190,0.40185986656957984
191,0.3604368576943752
192,0.46602640574696597
193,0.46105056183062904
194,0.42283331619543
195,0.48470365499923784
196,0.4251696443425274
197,0.37888225758853816
198,0.5413061088683216
199,0.6301579167220513
200,0.5013655982925632
201,0.5042235874954055
202,0.4439828821606131
203,0.4079124724086724
204,0.46504550461650535
205,0.41898327925837187
206,0.3898705795704489
207,0.3493549042409205
208,0.3467800387734612
209,0.32142820319255455
210,0.3446889359089791
211,0.29171135758109784
212,0.2528409209658421
213,0.2718280458025095
214,0.2904785432057688
215,0.22560530935030074
216,0.2511711597233079
217,0.24273763932209702
218,0.2925406649004873
219,0.2682031702613071
220,0.22002531951043006
221,0.2256967115010937
222,0.2472051981071953
223,0.2622464252145094
224,0.26883852667535546
225,0.23787326144331244
226,0.17177390117476848
227,0.16933279495237197
228,0.15435175950533608
229,0.17804498044746372
230,0.17268346404119567
231,0.1702289818942929
232,0.14766156793144397
233,0.14289528016570546
234,0.12520339068539632
235,0.13006999788493198
236,0.1336837268223792
237,0.13111109067567095
238,0.10801086905332177
239,0.09949932242582427
240,0.10467134656825335
241,0.12700468185224234
242,0.11812529730082208
243,0.11092236195418918
244,0.10991470897471592
245,0.10610257049042553
246,0.09902670642660232
247,0.09982926189697923
248,0.10624970565999464
249,0.11643324285077739
250,0.12992063339461182
251,0.1370031854206882
252,0.15107019935979485
253,0.1870246844326811
254,0.1894947718248412
255,0.21414883001067014
256,0.22863718557172466
257,0.23580891042784288
258,0.24298063528396113
259,0.2621371884977082
260,0.3034866297881282
261,0.2704035098425905
262,0.2813985197867544
263,0.302907006392856
264,0.26099131763166994
265,0.24510963660121107
266,0.3173151064068728
267,0.3428140771573486
268,0.3584393863014371
269,0.3461602876046701
270,0.33129517683668863
271,0.3919483065104248
272,0.36891273518985596
273,0.38540970874760383
274,0.30352229892014493
275,0.3040885463909109
276,0.2975165088168243
277,0.2783042225843011
278,0.33117925215763416
279,0.3763765010643613
280,0.3640617332355776
281,0.3075239296682743
282,0.30634016034946837
283,0.2861090745337167
284,0.22747570946042917
285,0.21713834913782418
286,0.23285728975345668
287,0.19247983231049312
288,0.1663633397119774
289,0.16488752937478426
290,0.21242110642860867
291,0.21102109299695118
292,0.23526495616458742
293,0.3104287346068886
294,0.3286155332939302
295,0.32034029466604363
296,0.2805558365428586
297,0.29803816987256926
298,0.2925317476174832
299,0.25401354368089285
300,0.24041914574100814
301,0.2028060460293429
302,0.18199087817681692
303,0.17638636580868475
304,0.1774452931654321
305,0.18371637243812733
306,0.1773360564486308
307,0.16573467126018213
308,0.14387172265466405
309,0.13598438583745973
310,0.15096096264299355
311,0.15323264048831045
312,0.14744755313934346
313,0.13418755331211582
314,0.12274667921774254
315,0.11768166247136372
316,0.1410672371498469
317,0.19551839649417024
318,0.17759465765575225
319,0.15690879040678699
320,0.1677254546908671
321,0.16550505122282427
322,0.1549514467873677
323,0.1317865748632382
324,0.1265053140040078
325,0.12343776865056712
326,0.11069720055833342
327,0.10835418444898301
328,0.11007522006879131
329,0.11361761074220501
330,0.10422102377654185
331,0.09994072793453158
332,0.09851842129536359
333,0.09835122223903506
334,0.10243756717570424
335,0.09932989404874469
336,0.09835122223903506
337,0.09835122223903506
338,0.09835122223903506
339,0.09835122223903506
340,0.09835122223903506
341,0.09835122223903506
342,0.09835122223903506
343,0.09835122223903506
344,0.09835122223903506
345,0.09835122223903506
346,0.1011891475551179
347,0.10385095653186803
348,0.11149975602871036
349,0.12414000468714693
350,0.13267830316365697
351,0.13646591911968586
352,0.1340448767840488
353,0.17292646000305978
354,0.23327194341315144
355,0.29043618611149896
356,0.3127873559614963
357,0.3774911614398849
358,0.327376030956348
359,0.38527817882329213
360,0.37185543858123804
361,0.4279674418850914
362,0.4823740148143937
363,0.4628340184314666
364,0.4351770651939774
365,0.5227626188611125
366,0.4848106623952882
367,0.4453985008375279
368,0.3881963596864126
369,0.3621222241821667
370,0.4010796043067133
371,0.3991958282720786
372,0.40716787927782266
373,0.3863058956895248
374,0.3559804455130322
375,0.28080106182547376
376,0.20342802651888503
377,0.1910686722750804
378,0.23586687276737014
379,0.2386334598194195
380,0.2168842065722048
381,0.1843071424371548
382,0.2209861567541313
383,0.2748510047409293
384,0.2760370033804863
385,0.20285732040661703
386,0.1743643718874851
387,0.15654095248286423
388,0.14618575759425084
389,0.19338047789391616
390,0.224385870899478
391,0.22965598515495314
392,0.23759236702868056
393,0.22933942160830448
394,0.18313897836360615
395,0.1549514467873677
396,0.18213132538413293
397,0.20470096866773288
398,0.2255852454635413
399,0.22573683927461252
400,0.24579849671328458
401,0.2665111158112624
402,0.29504865074541525
403,0.2957754093102566
404,0.26442447158828236
405,0.24449657339467315
406,0.2700178373526594
407,0.2430341389819863
408,0.1975091799248552
409,0.1603330270803952
410,0.17834593874885507
411,0.2404659614767801
412,0.26875381248681574
413,0.2425503763790091
414,0.2561492329603959
415,0.24505613290318595
416,0.22607123738726959
417,0.2227027337324375
418,0.19588846373884405
419,0.19651044422838615
420,0.21641604921448496
421,0.2288712642505846
422,0.2425548350205112
423,0.2042172060647557
424,0.19947989946878075
425,0.16567002095840175
426,0.1613897251163915
427,0.17826791252256843
428,0.16858151385926914
429,0.20073723637237126
430,0.22662410893352922
431,0.23577324129582614
432,0.24631792844827854
433,0.24036341272223194
434,0.26603404117053836
435,0.2393535304220077
436,0.24291375566142975
437,0.22530212172815833
438,0.21491794566978134
439,0.1868976131498714
440,0.167435642993231
441,0.19692509788808088
442,0.16793055219996342
443,0.1636101285844343
444,0.17695038395869966
445,0.19513049468348803
446,0.1803389515002911
447,0.16371044801823142
448,0.17909944916270895
449,0.2281824041385111
450,0.2820740039743216
451,0.29161103814730077
452,0.27492234300496277
453,0.2528320036828379
454,0.2899970099235427
455,0.3372831323740009
456,0.35646866675751154
457,0.3019372518661505
458,0.2759522891919465
459,0.283895359027927
460,0.35620114826738586
461,0.3255791984310041
462,0.3318413604206951
463,0.47332966052739606
464,0.5241938427832846
465,0.5755507049251547
466,0.5606566129874098
467,0.5483150933096134
468,0.6194861582867894
469,0.5443870301462685
470,0.42684163490581256
471,0.33584299116882455
472,0.341315973612645
473,0.3330697161545221
474,0.306273280726937
475,0.315429101051487
476,0.39832639317917024
477,0.39331933877231867
478,0.4101752329709851
479,0.41217493368467434
480,0.4139561609647609
481,0.45535241799095283
482,0.4308165138049294
483,0.42587633902060934
484,0.3534769183096064
485,0.3519052471801183
486,0.3686608219449876
487,0.3338588957003927
488,0.32595372431718
489,0.29240690565542454
490,0.2891855371701616
491,0.31638547965368624
492,0.3470118881315701
493,0.3723949342029914
494,0.35831008569787637
495,0.30882362366613475
496,0.381243108263897
497,0.35605401309781676
498,0.3708388683187606
499,0.4385923845845815
500,0.3488711416379433
501,0.27166084674618096
502,0.3193660814978361
503,0.2901597503383691
504,0.25026382617763177
505,0.25002305953651865
506,0.2486118995011059
507,0.2980292525895651
508,0.28000742363810105
509,0.2688429853168576
510,0.3056356949921375
511,0.3675706840977257
512,0.38599156146362706
513,0.43491400534535385
514,0.5104210991833164
515,0.4963473972819564
516,0.47737364836979523
517,0.4608298590762753
518,0.4339888372336694
519,0.36543945345972473
520,0.3107386101912841
521,0.28088800533476455
522,0.27606152590874783
523,0.22570117014259578
524,0.1796077342939477
525,0.1636859254899699
526,0.17306690721037574
527,0.18714952639473972
528,0.2270075521027093
529,0.21261728665470084
530,0.19192027280198035
531,0.1931129594037905
532,0.23384264952541944
533,0.26084195314134984
534,0.3065898442735856
535,0.36730316560760007
536,0.3310142824220567
537,0.3030697468076824
538,0.3118933983403265
539,0.31157460547292676
540,0.3705490566211245
541,0.3436634483634975
542,0.39794295000999025
543,0.4353509522125591
544,0.4439962580851194
545,0.3923005391890902
546,0.2799071042043039
547,0.3115077258503954
548,0.3354461720751382
549,0.25363010051171275
550,0.2976079109676172
551,0.2620279517809069
552,0.24519658011050194
553,0.20271687319930104
554,0.18370968447587419
555,0.1963410158513066
556,0.2743226557229312
557,0.3917744194918431
558,0.4340334236486903
559,0.4645662006550301
560,0.4479399264937216
561,0.5180052483783781
562,0.6025990535976082
563,0.7090513487808543
564,0.6218960540186712
565,0.6760061272880843
566,0.6494995035581353
567,0.6775220653987962
568,0.7199527272534741
569,0.7483163751690453
570,0.6685601959795873
571,0.7211476431760352
572,0.772682850977989
573,0.7806593606252354
574,0.6799029799609144
575,0.5729691514954423
576,0.5644509169056916
577,0.5997544403192723
578,0.7084427442158183
579,0.7190498523493001
580,0.7260008744510645
581,0.7610235034500132
582,0.8170017475088037
583,0.7568546736455553
584,0.7470010759259275
585,0.7447672965333784
586,0.7071742607084727
587,0.6916091432246624
588,0.7076268128209351
589,0.7391717014482504
590,0.6495128794826416
591,0.634119419696662
592,0.609512177246605
593,0.5939113906307779
594,0.5375140342707907
595,0.5175526962659156
596,0.4798125252714407
597,0.49677319754540644
598,0.4169724319409275
599,0.39741905963349416
600,0.41151059610086227
601,0.38132782245243685
602,0.4039754919623234
603,0.4281457875451751
604,0.40501435543231135
605,0.40650131237325965
606,0.40955325248144303
607,0.45794511802442056
608,0.438521046320548
609,0.42615277479373914
610,0.3340996623415058
611,0.3090198038922269
612,0.36595665587396764
613,0.37699179359165036
614,0.3254231459784308
615,0.3277929139367938
616,0.3564865013235199
617,0.3881272507431302
618,0.3706114776021538
619,0.3686095475677136
620,0.3290435628781312
621,0.31517718780661874
622,0.33284678407941737
623,0.3774599509493702
624,0.38640844444407296
625,0.33410857962450996
626,0.2920412970522528
627,0.2608664756696114
628,0.24342427011341952
629,0.2956929244424678
630,0.2634346531748175
631,0.2508590548181613
632,0.27687968662438206
633,0.3056490709166438
634,0.3245648574892777
635,0.3286734956334574
636,0.32006831753441584
637,0.3807526576986666
638,0.42888592203452275
639,0.4743105616578567
640,0.4423287261633363
641,0.4339710026676609
642,0.5159029989101409
643,0.4293139516187237
644,0.36774457111630726
645,0.28713902072070047
646,0.32056099742039723
647,0.2851348613655092
648,0.2697971345983057
649,0.28335586340617364
650,0.2505692431205252
651,0.26019322080279517
652,0.3369398169783397
653,0.25857027529603294
654,0.2646139638521214
655,0.41062778508344766
656,0.37696058310113567
657,0.4148590358689349
658,0.4478440657014266
659,0.4349563624396238
660,0.5087045222050101
661,0.5167389941917834
662,0.6162335793110116
663,0.5650149350557067
664,0.4941693509081834
665,0.5503705270420787
666,0.5472673125566213
667,0.6605747690493369
668,0.687799234061123
669,0.6363309058817005
670,0.7659547609513292
671,0.7590795357551002
672,0.6027194369181648
673,0.5649993298104493
674,0.5101067649574186
675,0.45000204818844003
676,0.4885068762005241
677,0.44599818811955966
678,0.4143552093791983
679,0.4357121021742286
680,0.5180030190576272
681,0.5753188555670459
682,0.4659706727281898
683,0.43227448957611425
684,0.5227782241063699
685,0.4980037825999844
686,0.536869760573738
687,0.49827575973161214
688,0.5259416302521056
689,0.5251435334232307
690,0.6240562658264357
691,0.6716099067670196
692,0.6560002028681883
693,0.6604187165967635
694,0.6602336829744266
695,0.5903377894668496
696,0.561385600873002
697,0.5706105301408346
698,0.5869046355102372
699,0.5874129206414759
700,0.536018160046838
701,0.4529447515798221
702,0.4221600613286139
703,0.43341590180065026
704,0.42019157110543937
705,0.43202034701049485
706,0.42379861208063346
707,0.48017367523311044
708,0.46740189665036197
709,0.41197875345858215
710,0.34569658888845234
711,0.31284754762177464
712,0.297362685685002
713,0.270474848106624
714,0.29686108851601645
715,0.33900193867305817
716,0.448481651436226
717,0.3447558155315105
718,0.35373997815823
719,0.35217499499099497
720,0.2921393871652989
721,0.32634162612786216
722,0.3445150488903974
723,0.3108857453608532
724,0.3280782669929278
725,0.43097925421975586
726,0.47839467727377477
727,0.34652589620784185
728,0.35712854569982144
729,0.5364038325367692
730,0.6366229469000877
731,0.6470494800527345
732,0.6068659735151123
733,0.7197944454801497
734,0.7909944916270893
735,0.7816759308877128
736,0.8036280523232727
737,0.744361560156688
738,0.6372605326348872
739,0.6268050183124767
740,0.6962394424245869
741,0.5008261026708098
742,0.48469696703698484
743,0.3672452032680728
744,0.2682767378460917
745,0.36889490062384755
746,0.2682945724121
747,0.24388796882963729
748,0.3176829443307956
749,0.354170237063182
750,0.2978063205144604
751,0.34394211345737835
752,0.3035312162031491
753,0.23711306306720545
754,0.3269123322401302
755,0.4715528918888115
756,0.632179910643251
757,0.6944961135972683
758,0.6785653875102862
759,0.6586196547506685
760,0.6051560844990591
761,0.5715245516487638
762,0.5428800093185607
763,0.5198332913942367
764,0.5356124236701475
765,0.5686732504081748
766,0.5586078672171975
767,0.6252779335980095
768,0.5961251061365676
769,0.5880192958857607
770,0.6139775067109521
771,0.5484599991584315
772,0.47438189992189017
773,0.32907923201014794
774,0.37520164902855957
775,0.4125427716085971
776,0.37862365638141676
777,0.3690219719066573
778,0.3499055464664291
779,0.4201559019734226
780,0.43656370270112865
781,0.4337659051585646
782,0.531129259639792
783,0.521554327014045
784,0.471243016304416
785,0.38548773497389055
786,0.3541635491009289
787,0.31302812260260937
788,0.3382573455422085
789,0.3695436329624022
790,0.3702101998669653
791,0.40829145693635044
792,0.4107548563662574
793,0.528763950322931
794,0.44130100929710353
795,0.4041493789809051
796,0.3237043396793735
797,0.38101348822653913
798,0.3570259969452733
799,0.3799746247565512
800,0.35565719400413043
801,0.36789616492737853
802,0.3220591009651009
803,0.3186482402159989
804,0.2554581435275713
805,0.26324070226947643
806,0.28085679484424997
807,0.25850562499425256
808,0.21703802970402705
809,0.21641381989373387
810,0.19927480195968442
811,0.19524419004179147
812,0.20446688998887294
813,0.1900587899748561
814,0.20595384692982133
815,0.18891068978806685
816,0.18139119089478528
817,0.15932091545941984
818,0.1472558315547534
819,0.14671633593300004
820,0.1234132461223056
821,0.12212246940744938
822,0.0990177891435981
823,0.10683601701752
824,0.09835122223903506
825,0.09835122223903506
826,0.10004773533058184
827,0.10956693493755258
828,0.1271161478897947
829,0.1095201192017806
830,0.11244498802715429
831,0.1272409898518533
832,0.12812380086926792
833,0.11503545873987092
834,0.1261597692875955
835,0.129880505621093
836,0.16901177276422122
837,0.15452564652391773
838,0.09840695525781125
839,0.10466242928524916
840,0.0990646048793701
841,0.10204074808201787
842,0.1173963094152297
843,0.12864769124576397
844,0.16116679304128678
845,0.19645248188885892
846,0.197593894113395
847,0.21104115688371058
848,0.2420465498892725
849,0.21726096177913176
850,0.21436730344427274
851,0.21584088446071484
852,0.18716736096074812
853,0.19624961370051364
854,0.16890476536817095
855,0.2268648755746423
856,0.260516472311697
857,0.19530661102282076
858,0.19965155716661137
859,0.14925776158919363
860,0.14456727072899073
861,0.18867661110920694
862,0.3753331789528714
863,0.22653939474498944
864,0.18462816462530554
865,0.2610671145372056
866,0.29687892308202485
867,0.22753144247920537
868,0.3083866767989295
869,0.35035141061663855
870,0.30456116239013287
871,0.3252626348843554
872,0.2831529952178284
873,0.26370217166494314
874,0.21660777079907495
875,0.12972222384776863
876,0.19508144962696503
877,0.1813733563287769
878,0.12457918087510318
879,0.10036652819798156
880,0.12528364623243404
881,0.1563692947850336
882,0.16381076745202855
883,0.17854657761644932
884,0.1889307536748263
885,0.2080360325112992
886,0.15634700157752313
887,0.12317470880194356
888,0.12189507869084257
889,0.11653579160532555
890,0.12415115129090216
891,0.12981585531931264
892,0.15781166531096102
893,0.15656770433187678
894,0.17389621452976523
895,0.1727325090977187
896,0.16948661808419424
897,0.1850383596434982
898,0.18824858152500593
899,0.1921119943865704
900,0.19248874959349732
901,0.1632489786227647
902,0.15887950995071254
903,0.17865358501249956
904,0.17581343037566569
905,0.14812972528916385
906,0.17406564290684481
907,0.1395981147749069
908,0.14634181004682412
909,0.13859937907843786
910,0.1263158217401688
911,0.12222947680349962
912,0.14424178989933786
