timeStamp,*.*..www00...www.denominator,us-east-1.*..cloudfront00...cloudfront.monolith,us-east-1.*..webserver-elb00...webserver-elb.elb,us-east-1.zoneA..webserver09...webserver.monolith,us-east-1.*..appserver-elb00...appserver-elb.elb,us-east-1.zoneB..appserver04...appserver.monolith,us-east-1.zoneB..rdsmysql01...rdsmysql.store,us-east-1.*..content-s300...content-s3.store,us-east-1.zoneB..webserver10...webserver.monolith,us-east-1.zoneA..rdsmysql00...rdsmysql.store,us-east-1.zoneB..webserver01...webserver.monolith,us-east-1.zoneA..appserver03...appserver.monolith,us-east-1.zoneA..webserver06...webserver.monolith,us-east-1.zoneC..appserver02...appserver.monolith,us-east-1.zoneB..webserver07...webserver.monolith,us-east-1.zoneA..webserver00...webserver.monolith,us-east-1.zoneA..webserver03...webserver.monolith,us-east-1.zoneA..appserver00...appserver.monolith,us-east-1.zoneB..appserver01...appserver.monolith,us-east-1.zoneC..webserver11...webserver.monolith,us-east-1.zoneB..webserver04...webserver.monolith,us-east-1.zoneC..appserver05...appserver.monolith,us-east-1.zoneC..webserver08...webserver.monolith,us-east-1.zoneC..webserver02...webserver.monolith,us-east-1.zoneC..webserver05...webserver.monolith,tag
34,0.151,0.100666667,0.104,0,0.0435,0,0.004,0.011,0,0.006,0.089,0,0,0,0,0,0,0.0185,0,0,0.071,0,0,0,0,0
35,0.0738,0.0238,0,0,0,0,0,0.0058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.1235,0.054666667,0.09,0,0.041,0,0,0.006,0,0.003,0,0,0,0,0,0.068,0,0,0,0,0,0.018,0,0,0,0
37,0.136,0.10425,0.098666667,0,0.044333333,0,0.01,0.005,0.066,0.003,0,0.018,0,0,0,0,0,0,0.017,0.082,0.073,0.026,0,0,0,0
38,0.139333333,0.094333333,0.095,0,0.0395,0,0.004,0.007,0,0.007,0,0,0,0,0,0,0,0,0,0,0,0.0175,0,0,0.07,0
39,0.1596,0.10325,0.094333333,0,0.040666667,0.019,0.004,0.005,0,0.004,0,0,0.0675,0,0,0,0,0.0175,0,0.078,0,0,0,0,0,0
40,0.466666667,0.1815,0.173,0.205,0.054,0.017,0.005333333,0.008,0,0,0,0.03,0,0,0,0.081,0,0,0,0,0,0.021,0,0.083,0,0
41,0.183,0.135,0.101,0,0.043,0,0.004,0,0,0.004,0.073,0.017,0,0,0,0,0,0.021,0,0,0,0,0.075,0,0,0
42,0.189,0.134,0.099333333,0.071,0.043333333,0.018,0.004,0,0,0.005,0,0,0.075,0,0,0,0,0.022,0,0,0,0.017,0,0,0.067,0
43,0.1215,0.081,0.098,0,0.046,0,0.008,0.014,0,0,0,0,0,0,0.072,0,0,0,0,0,0,0.022,0,0,0,0
44,0.103666667,0.056,0.088,0,0.038,0,0,0.0045,0,0.003,0,0.015,0,0,0.066,0,0,0,0,0,0,0,0,0,0,0
45,47.869,47.7875,0,0,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,45.8455,45.7925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,0.072333333,0.027666667,0.401,0,0.1845,0.1,0.0105,0.009,0,0.005,0,0,0.283,0,0,0.346,0,0.042,0,0.35,0,0.0215,0,0,0,0
48,0.119666667,0.068666667,0.111,0,0.044,0,0,0.0095,0,0.004,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0.079,0
49,0.0705,0.0245,0,0,0,0,0,0.0085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0.1196,0.0746,0.1105,0,0.053,0,0.0045,0.009666667,0,0,0.087,0,0,0,0,0,0.08,0.021,0,0,0,0.021,0,0,0,0
51,0.117333333,0.063,0.105,0,0.046,0,0,0.0085,0,0.007,0,0,0,0,0,0,0.081,0,0.022,0,0,0,0,0,0,0
52,0.232666667,0.176333333,0.102,0,0.047,0,0.004,0.1685,0,0,0,0.017,0,0,0,0,0.078,0,0,0,0,0,0,0,0,0
53,0.185666667,0.14,0.106666667,0,0.047666667,0,0.004666667,0,0.079,0,0,0.018,0,0,0,0.077,0,0,0.02,0,0,0.02,0,0.082,0,0
54,0.077,0.0265,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.16425,0.108,0.102666667,0,0.044,0,0.0045,0.01,0,0.003,0,0,0.08,0.018,0,0,0.0735,0.016,0,0,0,0.019,0,0,0,0
56,60.2274,60.1732,100.207,0,100.131,0,0.007,0.015,150.222,0.006,0,0,0,0,0,0.082,0,0.023,0,0,0,0.02,0,0,0,1
57,0.189,0.135,0.099,0,0.042,0,0.004,0,0,0,0.071,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0
58,78.3342,78.2538,195.511,0,195.4255,0,0,0.007666667,0,0,0,0,0,0,0,0,190.459,0,0,200.481,0,0,0,0,0,0
59,37.79775,37.7275,37.693,0.078,37.616,0.0165,0.004,0,0,0.004,0.083,0,0,0,0,0,150.447,0.019,0,0,0,0,0.063,0,0,0
60,0.1485,0.092,0.118,0.085,0.052,0,0.005,0.009,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0
61,0.1536,0.1325,0.121,0.086,0.061666667,0.0195,0.016,0.022,0.093,0,0,0,0,0,0,0,0,0,0,0,0,0.054,0,0,0,0
62,0.083333333,0.0255,0,0,0,0,0.013,0.0075,0,0.01,0,0,0,0.06475,0,0,0,0,0,0,0,0,0,0,0,0
63,0.171666667,0.109,0.1165,0,0.0555,0,0.008,0.008,0,0,0,0.025,0,0.023,0,0,0,0,0,0,0,0,0,0.088,0,0
64,0.1315,0.0825,0.103,0,0.05,0,0.01,0.007,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0.078,0
65,0.1105,0.06275,0.112,0.077,0.039,0,0,0.013333333,0,0.007,0,0,0,0,0,0,0,0.017,0,0,0,0,0,0,0,0
66,0.079666667,0.028333333,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,75.3505,75.3085,150.552,0,0,0,0,0.012,0,0,0,0,0,0,0,150.527,0,0,0,0,0,0,0,0,0,1
68,67.629,67.28433333,100.5885,0,0,0,0,0.006,0,0,0,0,90.562,0,0,0,0,0,0,0,0,0,0,0,110.549,0
69,31.34675,31.094,41.30466667,50.583,0,0,0,0.011,41.291,0,0,0,31.432,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0.08525,0.028,0,0,0.3635,0,0.0475,0.01025,0,0.12625,0,0.022,0,0.199333333,0,0,0,0.073,0,0,0,0.16,0,0,0,0
71,0.134,0.087,0.1115,0,0.0505,0,0.011,0.0065,0.079,0.005,0,0.017,0,0,0,0,0,0,0,0.09,0,0.027,0,0,0,0
